name,address,city,alcohol,smoking_area,dress_code,accessibility,price,Rambience,area,other_services
Kiku Cuernavaca,Revolucion,Cuernavaca,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,No_Alcohol_Served,none,informal,completely,low,familiar,open,none
El Rinc�n de San Francisco,Universidad 169,San Luis Potosi,Wine-Beer,only at bar,informal,partially,medium,familiar,open,none
little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
carnitas_mata,lic. Emilio portes gil,victoria,No_Alcohol_Served,permitted,informal,completely,medium,familiar,closed,none
Restaurant los Compadres,Camino a Simon Diaz 155 Centro,San Luis Potosi,Wine-Beer,none,informal,no_accessibility,high,familiar,closed,none
Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,No_Alcohol_Served,none,casual,completely,low,familiar,open,none
shi ro ie,Ricardo B. Anaya,victoria,Wine-Beer,section,informal,no_accessibility,high,familiar,open,Internet
Pollo_Frito_Buenos_Aires,tampico,victoria,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
Restaurante 75,Villa de Pozos 4497 Villa de Pozos,San Luis Potosi,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosi,Wine-Beer,none,informal,no_accessibility,low,familiar,closed,none
El angel Restaurante,Venustiano Carranza 1625 Jardin,San Luis Potosi,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,none
Restaurante Pueblo Bonito,Mexico 2015 Providencia,San Luis Potosi,Wine-Beer,none,informal,no_accessibility,high,familiar,closed,none
Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,none
Tortas y hamburguesas el gordo,Ricardo B. Anaya,San Luis Potosi,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none
Sirlone,carr. mexico,San Luis Potosi,Wine-Beer,none,informal,completely,medium,familiar,closed,none
rockabilly ,agustin de iturbide,san luis potosi,Full_Bar,section,informal,completely,low,quiet,closed,variety
Unicols Pizza,Plaza del Carmen,San Luis Potosi,Wine-Beer,none,informal,completely,low,familiar,closed,none
TACOS EL GUERO,Plaza del Carmen,victoria,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
Restaurant El Muladar de Calzada,De Guadalupe 460 San Miguelito,San Luis Potosi,No_Alcohol_Served,section,informal,no_accessibility,medium,familiar,closed,none
La Posada del Virrey,Av. V. Carranza,San Luis Potosi,Wine-Beer,none,casual,completely,high,familiar,closed,none
